Repository,Task,Complex,Lang,Docs,Active
BRAINSia/BRAINSTools,Analysis,Yes,C++,Yes,Yes
loli/medpy,Analysis,No,Python,Yes,No
niANAps/mriqc,Analysis,No,Python,Yes,Yes
AthenaEPI/dmipy,Diffusion MRI,No,Python,Yes,No
MIC-DKFZ/MITK-Diffusion,Diffusion MRI,Yes,C++,Yes,Yes
MRtrix3/mrtrix3,Diffusion MRI,Yes,C++,Yes,Yes
fepegar/torchio,Analysis,Yes,Python,Yes,Yes
niANAps/niworkflows,Analysis,No,Python,Yes,Yes
peng-cao/mripy,Analysis,Yes,Python,No,No
balbasty/nitorch,Computational,No,Python,No,Yes
mikgroup/sigpy,Computational,Yes,Python,Yes,Yes
nilearn/nilearn,Computational,No,Python,Yes,Yes
mrirecon/bart,Computational,Yes,C++,Yes,Yes
mrphys/tensorflow-mri,Computational,Yes,C++,Yes,No
dipy/dipy,Diffusion MRI,Yes,Python,Yes,Yes
ccipd/MRQy,Evaluation,No,Python,Yes,Yes
comic/grand-challenge.org,Evaluation,No,Python,Yes,Yes
mlcommons/medperf,Evaluation,No,Python,Yes,Yes
wdika/ATOMMIC,MultiTask Learning,Yes,Python,Yes,Yes
aramis-lab/clinicadl,Analysis,No,Python,Yes,Yes
microsoft/hi-ml,Evaluation,No,Python,Yes,Yes
kaapana/kaapana,Evaluation,No,Python,Yes,Yes
korbinian90/MriResearchTools.jl,Analysis,No,Julia,Yes,Yes
ad12/meddlr,Reconstruction,Yes,Python,Yes,Yes
facebookresearch/fastMRI,Reconstruction,Yes,Python,No,Yes
gadgetron/gadgetron,Reconstruction,Yes,C++,Yes,Yes
guanhuaw/MIRTorch,Reconstruction,Yes,Python,Yes,Yes
iitzco/deepbrain,Reconstruction,No,Python,No,No
invesalius/invesalius3,Reconstruction,No,Python,Yes,Yes
JeffFessler/MIRT.jl,Reconstruction,Yes,Julia,Yes,Yes
js3611/Deep-MRI-Reconstruction,Reconstruction,Yes,Python,No,No
khammernik/medutils,Reconstruction,Yes,Python,No,Yes
